Assessment,Type,Country,Region,Date,Status,Availability,"PEFA check",Framework,Language,"Lead Agencies","Link to Content"
"China Rucheng County 2020",Subnational,China,"East Asia & Pacific",2021,Final,Non-public,Yes,"2021 SNG Framework",English,"Government, WBG",https://www.pefa.org/node/4539
"Afghanistan 2005",National,Afghanistan,"South Asia",2005,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/3136
"Afghanistan 2008",National,Afghanistan,"South Asia",2008,Final,Public,"N/A (pre-2012)","2011 Framework",English,WB,https://www.pefa.org/node/3131
"Afghanistan 2013",National,Afghanistan,"South Asia",2013,Final,Public,Yes,"2011 Framework",,WB,https://www.pefa.org/node/1451
"Afghanistan 2018",National,Afghanistan,"South Asia",2018,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/486
"Albania 2006",National,Albania,"Europe & Central Asia",2006,Final,Public,"N/A (pre-2012)","2011 Framework",English,WB,https://www.pefa.org/node/2936
"Albania 2012",National,Albania,"Europe & Central Asia",2012,Final,Public,"N/A (pre-2012)","2011 Framework",English,WB,https://www.pefa.org/node/1746
"Albania 2017",National,Albania,"Europe & Central Asia",2017,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/481
"Albania Berat Municipality 2017",Subnational,Albania,"Europe & Central Asia",2017,Final,Public,Yes,"2016 Framework",English,SECO,https://www.pefa.org/node/526
"Albania Fier Municipality 2017",Subnational,Albania,"Europe & Central Asia",2017,Final,Public,Yes,"2016 Framework",English,USAID,https://www.pefa.org/node/576
"Albania Kucova Municipality 2017",Subnational,Albania,"Europe & Central Asia",2017,Final,Non-public,Yes,"2016 Framework",English,USAID,https://www.pefa.org/node/511
"Albania Tirana Municipality 2017",Subnational,Albania,"Europe & Central Asia",2017,Final,Public,Yes,"2016 Framework",English,SECO,https://www.pefa.org/node/531
"Albania Tropoja Municipality 2017",Subnational,Albania,"Europe & Central Asia",2017,Final,Public,Yes,"2016 Framework",English,SECO,https://www.pefa.org/node/521
"Algeria 2010",National,Algeria,"Middle East & North Africa",2010,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2221
"Algeria 2017",National,Algeria,"Middle East & North Africa",2017,Final,Non-public,Yes,"2016 Framework",French,Government,https://www.pefa.org/node/676
"Angola 2016",National,Angola,"Sub-Saharan Africa",2016,Draft,Non-public,None,"2011 Framework",English,Government,https://www.pefa.org/node/716
"Angola 2022",National,Angola,"Sub-Saharan Africa",2022,Draft,Non-public,,"2016 Framework",Portuguese,"Government, EU, AfD",https://www.pefa.org/node/5052
"Anguilla 2008",National,Anguilla,"Latin America & Caribbean",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2226
"Anguilla 2014",National,Anguilla,"Latin America & Caribbean",2014,Final,Public,Yes,"2011 Framework",,IMF,https://www.pefa.org/node/1241
"Anguilla 2020",National,Anguilla,"Latin America & Caribbean",2020,Final,Non-public,Yes,"2016 Framework",English,"Government, EU, IMF",https://www.pefa.org/node/3981
"Antigua and Barbuda 2010",National,"Antigua and Barbuda","Latin America & Caribbean",2010,Final,Non-public,"N/A (pre-2012)","2011 Framework",,IMF,https://www.pefa.org/node/2056
"Antigua and Barbuda 2014",National,"Antigua and Barbuda","Latin America & Caribbean",2014,Final,Public,Yes,"2011 Framework",,IMF,https://www.pefa.org/node/1716
"Antigua and Barbuda GRPFM 2019",National,"Antigua and Barbuda","Latin America & Caribbean",2019,Draft,Non-public,,"Gender Framework",English,WB,https://www.pefa.org/node/4386
"Argentina 2019",National,Argentina,"Latin America & Caribbean",2019,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/3671
"Argentina Buenos Aires Province 2012",Subnational,Argentina,"Latin America & Caribbean",2012,Final,Public,"N/A (pre-2012)","2011 Framework",Spanish,WB,https://www.pefa.org/node/2051
"Argentina Cordoba Province 2012",Subnational,Argentina,"Latin America & Caribbean",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2016
